"id","question","answer"
"sid0043","Q12",1
"sid0043","Q13",1
"sid0043","Q14",1
"sid0043","Q15",1
"sid0043","Q16",1
"sid0043","Q17",0
"sid0043","Q18",1
"sid0043","Q19",0
"sid0043","Q20",0
"sid0043","Q21",0
"sid0043","Q22",0
"sid0044","Q01",1
"sid0044","Q02",1
"sid0044","Q03",1
"sid0044","Q04",0
"sid0044","Q05",1
"sid0044","Q06",0
"sid0044","Q07",0
"sid0044","Q08",0
"sid0044","Q09",1
"sid0044","Q10",1
"sid0044","Q11",0
"sid0044","Q12",0
"sid0044","Q13",0
"sid0044","Q14",0
"sid0044","Q15",1
"sid0044","Q16",0
"sid0044","Q17",1
"sid0044","Q18",0
"sid0044","Q19",0
"sid0044","Q20",0
"sid0044","Q21",0
"sid0044","Q22",0
"sid0045","Q01",1
"sid0045","Q02",1
"sid0045","Q03",1
"sid0045","Q04",0
"sid0045","Q05",0
"sid0045","Q06",1
"sid0045","Q07",0
"sid0045","Q08",0
"sid0045","Q09",0
"sid0045","Q10",1
"sid0045","Q11",0
"sid0045","Q12",1
"sid0045","Q13",0
"sid0045","Q14",1
"sid0045","Q15",1
"sid0045","Q16",1
"sid0045","Q17",0
"sid0045","Q18",0
"sid0045","Q19",1
"sid0045","Q20",0
"sid0045","Q21",1
"sid0045","Q22",0
"sid0046","Q01",0
"sid0046","Q02",0
"sid0046","Q03",1
"sid0046","Q04",1
"sid0046","Q05",0
"sid0046","Q06",0
"sid0046","Q07",1
"sid0046","Q08",1
"sid0046","Q09",1
"sid0046","Q10",1
"sid0046","Q11",1
"sid0046","Q12",1
"sid0046","Q13",0
"sid0046","Q14",0
"sid0046","Q15",1
"sid0046","Q16",1
"sid0046","Q17",0
"sid0046","Q18",1
"sid0046","Q19",1
"sid0046","Q20",0
"sid0046","Q21",0
"sid0046","Q22",1
"sid0047","Q01",1
"sid0047","Q02",1
"sid0047","Q03",0
"sid0047","Q04",0
"sid0047","Q05",1
"sid0047","Q06",0
"sid0047","Q07",1
"sid0047","Q08",1
"sid0047","Q09",0
"sid0047","Q10",1
"sid0047","Q11",1
"sid0047","Q12",1
"sid0047","Q13",0
"sid0047","Q14",0
"sid0047","Q15",1
"sid0047","Q16",1
"sid0047","Q17",0
"sid0047","Q18",0
"sid0047","Q19",1
"sid0047","Q20",1
"sid0047","Q21",0
"sid0047","Q22",1
"sid0048","Q01",0
"sid0048","Q02",0
"sid0048","Q03",1
"sid0048","Q04",0
"sid0048","Q05",1
"sid0048","Q06",1
"sid0048","Q07",1
"sid0048","Q08",1
"sid0048","Q09",1
"sid0048","Q10",1
"sid0048","Q11",1
"sid0048","Q12",1
"sid0048","Q13",1
"sid0048","Q14",1
"sid0048","Q15",1
"sid0048","Q16",1
"sid0048","Q17",0
"sid0048","Q18",1
"sid0048","Q19",0
"sid0048","Q20",0
"sid0048","Q21",0
"sid0048","Q22",0
"sid0049","Q01",1
"sid0049","Q02",1
"sid0049","Q03",1
"sid0049","Q04",0
"sid0049","Q05",1
"sid0049","Q06",0
"sid0049","Q07",0
"sid0049","Q08",0
"sid0049","Q09",1
"sid0049","Q10",1
"sid0049","Q11",0
"sid0049","Q12",0
"sid0049","Q13",0
"sid0049","Q14",0
"sid0049","Q15",1
"sid0049","Q16",0
"sid0049","Q17",1
"sid0049","Q18",0
"sid0049","Q19",0
"sid0049","Q20",0
"sid0049","Q21",0
"sid0049","Q22",0
"sid0050","Q01",1
"sid0050","Q02",1
"sid0050","Q03",1
"sid0050","Q04",0
"sid0050","Q05",0
"sid0050","Q06",1
"sid0050","Q07",0
"sid0050","Q08",0
"sid0050","Q09",0
"sid0050","Q10",1
"sid0050","Q11",0
"sid0050","Q12",1
"sid0050","Q13",0
"sid0050","Q14",1
"sid0050","Q15",1
"sid0050","Q16",1
"sid0050","Q17",0
"sid0050","Q18",0
"sid0050","Q19",1
"sid0050","Q20",0
"sid0050","Q21",1
"sid0050","Q22",0
